Genero,Nivel_Educativo,Area_Estudio,Promedio,Calificacion_Examen_Final,Participacion_Actividades_Extracurriculares,Horas_Estudio_Semanales,Calificacion_Satisfaccion_Curso,Nivel_Socioeconomico,Calificacion_Bienestar_Emocional,Asistencia_Clases,Calificacion_Habilidades_Sociales,Calificacion_Habilidades_Comunicacion,Fecha,Edad
Masculino,Primaria,Matematicas,12.54,53,Si,9,1,Bajo,9,78,2,9,2016-10-08,7
Femenino,Universitario,Ciencias,11.7,53,No,10,2,Medio,5,87,7,9,2015-04-16,19
Masculino,Primaria,Matematicas,12.75,91,No,23,4,Medio,8,98,2,2,2015-03-04,11
Masculino,Secundaria,Artes,19.76,92,No,8,5,Bajo,9,82,8,8,2017-04-03,15
Femenino,Primaria,Artes,18.85,55,Si,28,4,Bajo,5,94,7,9,2016-09-01,10
Femenino,Primaria,Matematicas,19.63,65,No,22,4,Alto,6,81,4,5,2016-06-11,11
Masculino,Universitario,Artes,10.98,96,No,11,3,Bajo,9,91,1,1,2015-05-29,18
Masculino,Universitario,Artes,11.49,90,No,21,2,Alto,6,80,6,5,2016-06-26,21
Masculino,Primaria,Artes,14.72,76,No,19,1,Medio,8,71,5,9,2017-09-06,8
Masculino,Secundaria,Matematicas,9.19,82,Si,20,2,Medio,10,98,8,5,2017-09-15,15
Masculino,Secundaria,Ciencias,17.87,74,Si,6,2,Alto,10,94,10,4,2015-02-20,13
Masculino,Universitario,Matematicas,18.85,70,No,8,4,Alto,8,72,3,9,2016-04-19,18
Femenino,Universitario,Artes,9.74,93,Si,15,4,Medio,7,73,9,4,2015-10-27,24
Femenino,Primaria,Ciencias,10.79,52,Si,9,1,Medio,7,98,5,2,2015-05-01,6
Masculino,Universitario,Artes,15.66,80,No,15,3,Alto,8,94,2,10,2017-11-26,24
Femenino,Primaria,Artes,13.56,56,Si,13,5,Bajo,10,98,10,4,2016-02-07,10
Masculino,Secundaria,Artes,14.83,70,Si,29,1,Alto,10,84,8,9,2016-07-09,15
Femenino,Primaria,Artes,11.29,82,No,20,4,Alto,10,81,6,9,2015-09-12,7
Masculino,Primaria,Artes,12.05,69,Si,16,2,Bajo,8,76,8,5,2017-01-28,8
Masculino,Primaria,Ciencias,12.57,76,Si,15,2,Medio,5,94,5,8,2015-04-07,9
Masculino,Primaria,Artes,11.41,79,No,12,3,Alto,7,94,6,10,2017-03-30,7
Masculino,Secundaria,Ciencias,13.19,72,No,9,1,Bajo,7,86,7,9,2015-01-05,13
Masculino,Primaria,Matematicas,8.4,87,Si,29,4,Bajo,8,86,4,4,2017-06-14,9
Masculino,Universitario,Ciencias,11.39,56,No,25,2,Alto,9,84,5,1,2015-10-19,22
Femenino,Primaria,Ciencias,13.08,64,No,28,4,Bajo,8,88,8,10,2015-07-15,8
Femenino,Secundaria,Artes,19.4,74,No,8,3,Medio,10,87,9,3,2016-01-31,12
Masculino,Universitario,Artes,18.4,93,No,21,5,Alto,8,83,5,5,2017-09-30,22
Femenino,Primaria,Ciencias,8.64,91,No,29,1,Alto,9,76,8,10,2015-09-14,8
Masculino,Secundaria,Matematicas,17.92,84,Si,12,5,Medio,6,99,9,9,2015-02-17,14
Femenino,Secundaria,Artes,11.95,73,Si,13,2,Bajo,8,85,8,4,2015-11-12,12
Femenino,Secundaria,Ciencias,17.43,72,No,19,4,Bajo,7,70,4,5,2015-04-14,12
