Fecha,Producto,Cantidad_Vendida,Precio_Unitario,Categoria_Producto,Sucursal,ID_Cliente,ID_Vendedor,Tipo_Cliente,Metodo_Pago,Total_Ventas
2022-09-29,Consola de videojuegos,4,400,Electrónica,Oeste,1521,010002,Mayorista,Tarjeta de Crédito,1600
2020-07-07,Bufanda,8,15,Ropa,Oeste,1448,050008,Minorista,Transferencia Bancaria,120
2020-03-24,Banco,2,100,Muebles,Oeste,1155,050009,Mayorista,Efectivo,200
2021-03-07,Mesita de noche,9,50,Muebles,Este,1483,030010,Mayorista,Transferencia Bancaria,450
2022-08-07,Smartwatch,2,200,Electrónica,Este,1854,020001,Mayorista,Tarjeta de Crédito,400
2020-06-10,Arroz,7,3,Alimentos,Oeste,1528,030002,Mayorista,Transferencia Bancaria,21
2020-12-25,Thriller,1,16,Libros,Norte,1029,020009,Mayorista,Efectivo,16
2023-04-15,Café,5,2,Bebidas,Este,1806,040001,Minorista,Efectivo,10
2020-11-09,Zapatos,9,70,Ropa,Centro,1180,020010,Mayorista,Transferencia Bancaria,630
2020-12-15,Teléfono,5,300,Electrónica,Sur,1303,010015,Mayorista,Tarjeta de Crédito,1500
2020-01-09,Bañador,9,45,Ropa,Oeste,1374,010010,Minorista,Efectivo,405
2022-12-27,Pijama,8,25,Ropa,Este,1468,010014,Minorista,Transferencia Bancaria,200
2020-01-01,Tableta,4,250,Electrónica,Centro,1505,040012,Minorista,Efectivo,1000
2020-04-29,Calcetines,4,5,Ropa,Sur,1504,020005,Minorista,Transferencia Bancaria,20
2023-06-06,Misterio,5,14,Libros,Norte,1154,020002,Minorista,Transferencia Bancaria,70
2021-05-28,Leche,4,3,Alimentos,Este,1317,040005,Minorista,Efectivo,12
2020-06-12,Refresco,7,2,Bebidas,Centro,1191,040014,Minorista,Transferencia Bancaria,14
2022-12-29,Café,9,2,Bebidas,Este,1303,020005,Minorista,Transferencia Bancaria,18
2021-09-21,Agua embotellada,6,1,Bebidas,Este,1563,030005,Minorista,Tarjeta de Crédito,6
2022-01-21,Chaquetas,1,60,Ropa,Norte,1280,020015,Mayorista,Tarjeta de Crédito,60
2020-01-10,Ciencia ficción,1,12,Libros,Norte,1651,040003,Minorista,Efectivo,12
