Marca,Producto,Tipo,Pulgadas,Procesador,RAM(GB),GPU,SistemaOperativo,Peso(kg),Precio(S/),Resolucion,TipoPantalla,PantallaTactil,Proc_freq(GHz),Almacenamiento_1(GB),Almacenamiento_1_tipo,Almacenamiento_2(GB),Almacenamiento_2_tipo,Marca_procesador,Marca_GPU
Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 ,8,Intel Iris Plus Graphics 640,macOS,1.37,5573.11,2560x1600,IPSPanelRetinaDisplay,0.0,2.3,128.0,SSD,0.0,,Intel,Intel
Apple,Macbook Air,Ultrabook,13.3,Intel Core i5 ,8,Intel HD Graphics 6000,macOS,1.34,3739.59,1440x900,,0.0,1.8,128.0,FlashStorage,0.0,,Intel,Intel
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,No OS,1.86,2392.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,,Intel,Intel
Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 ,16,AMD Radeon Pro 455,macOS,1.83,10555.79,2880x1800,IPSPanelRetinaDisplay,0.0,2.7,512.0,SSD,0.0,,Intel,AMD
Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 ,8,Intel Iris Plus Graphics 650,macOS,1.37,7502.98,2560x1600,IPSPanelRetinaDisplay,0.0,3.1,256.0,SSD,0.0,,Intel,Intel
Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon R5,Windows 10,2.1,1664.0,1366x768,,0.0,3.0,500.0,HDD,0.0,,AMD,AMD
Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 ,16,Intel Iris Pro Graphics,Mac OS X,2.04,8902.28,2880x1800,IPSPanelRetinaDisplay,0.0,2.2,256.0,FlashStorage,0.0,,Intel,Intel
Apple,Macbook Air,Ultrabook,13.3,Intel Core i5 ,8,Intel HD Graphics 6000,macOS,1.34,4820.19,1440x900,,0.0,1.8,256.0,FlashStorage,0.0,,Intel,Intel
Asus,ZenBook UX430UN,Ultrabook,14.0,Intel Core i7 8550U ,16,Nvidia GeForce MX150,Windows 10,1.3,6219.2,1920x1080,,0.0,1.8,512.0,SSD,0.0,,Intel,Nvidia
Acer,Swift 3,Ultrabook,14.0,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.6,3203.2,1920x1080,IPSPanel,0.0,1.6,256.0,SSD,0.0,,Intel,Intel
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,No OS,1.86,1638.62,1366x768,,0.0,2.5,500.0,HDD,0.0,,Intel,Intel
HP,250 G6,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,No OS,1.86,1435.16,1920x1080,,0.0,2.0,500.0,HDD,0.0,,Intel,Intel
Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 ,16,AMD Radeon Pro 555,macOS,1.83,10150.28,2880x1800,IPSPanelRetinaDisplay,0.0,2.8,256.0,SSD,0.0,,Intel,AMD
Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon R5 M430,Windows 10,2.2,2075.42,1920x1080,,0.0,2.0,256.0,SSD,0.0,,Intel,AMD
Apple,MacBook 12,Ultrabook,12.0,Intel Core M m3 ,8,Intel HD Graphics 615,macOS,0.92,5251.58,2304x1440,IPSPanelRetinaDisplay,0.0,1.2,256.0,SSD,0.0,,Intel,Intel
Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 ,8,Intel Iris Plus Graphics 640,macOS,1.37,6317.17,2560x1600,IPSPanelRetinaDisplay,0.0,2.3,256.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 3567,Notebook,15.6,Intel Core i7 7500U ,8,AMD Radeon R5 M430,Windows 10,2.2,3099.2,1920x1080,,0.0,2.7,256.0,SSD,0.0,,Intel,AMD
Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 ,16,AMD Radeon Pro 560,macOS,1.83,11889.28,2880x1800,IPSPanelRetinaDisplay,0.0,2.9,512.0,SSD,0.0,,Intel,AMD
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Intel Core i3 7100U ,8,Nvidia GeForce 940MX,No OS,2.2,2075.84,1920x1080,,0.0,2.4,1000.0,HDD,0.0,,Intel,Nvidia
Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.22,4072.64,1920x1080,IPSPanel,1.0,1.6,128.0,SSD,0.0,,Intel,Intel
Asus,Vivobook E200HA,Netbook,11.6,Intel Atom x5-Z8350 ,2,Intel HD Graphics 400,Windows 10,0.98,798.3,1366x768,,0.0,1.44,32.0,FlashStorage,0.0,,Intel,Intel
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.5,4155.84,1920x1080,IPSPanel,0.0,2.5,128.0,SSD,1000.0,HDD,Intel,Nvidia
HP,255 G6,Notebook,15.6,AMD E-Series E2-9000e ,4,AMD Radeon R2,No OS,1.86,1073.28,1366x768,,0.0,1.5,500.0,HDD,0.0,,AMD,AMD
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.62,3407.04,1920x1080,,1.0,1.6,256.0,SSD,0.0,,Intel,Intel
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Intel Core i7 8550U ,8,Intel HD Graphics 620,Windows 10,1.91,2741.44,1920x1080,,0.0,1.8,256.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,2.3,1741.54,1366x768,,0.0,2.0,1000.0,HDD,0.0,,Intel,Intel
Apple,MacBook Air,Ultrabook,13.3,Intel Core i5 ,8,Intel HD Graphics 6000,Mac OS X,1.35,4571.84,1440x900,,0.0,1.6,128.0,FlashStorage,0.0,,Intel,Intel
Dell,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U ,8,AMD Radeon 530,Windows 10,2.2,3328.0,1920x1080,,0.0,1.6,256.0,SSD,0.0,,Intel,AMD
Dell,Latitude 5590,Ultrabook,15.6,Intel Core i7 8650U ,8,Intel UHD Graphics 620,Windows 10,1.88,5399.68,1920x1080,,0.0,1.9,256.0,SSD,256.0,SSD,Intel,Intel
HP,ProBook 470,Notebook,17.3,Intel Core i5 8250U ,8,Nvidia GeForce 930MX,Windows 10,2.5,3727.36,1920x1080,,0.0,1.6,1000.0,HDD,0.0,,Intel,Nvidia
Chuwi,LapBook 15.6,Notebook,15.6,Intel Atom x5-Z8300 ,4,Intel HD Graphics,Windows 10,1.89,1019.16,1920x1080,,0.0,1.44,64.0,FlashStorage,0.0,,Intel,Intel
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,AMD E-Series E2-6110 ,2,AMD Radeon R2,Windows 10,1.65,827.84,1366x768,,0.0,1.5,32.0,FlashStorage,0.0,,AMD,AMD
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,AMD A6-Series 9220 ,4,AMD Radeon 530,Windows 10,2.71,1826.24,1920x1080,,0.0,2.5,500.0,HDD,0.0,,AMD,AMD
Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U ,16,Intel UHD Graphics 620,Windows 10,1.2,7775.04,3200x1800,,1.0,1.8,512.0,SSD,0.0,,Intel,Intel
Apple,MacBook Air,Ultrabook,13.3,Intel Core i5 ,8,Intel HD Graphics 6000,Mac OS X,1.35,4151.68,1440x900,,0.0,1.6,256.0,FlashStorage,0.0,,Intel,Intel
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.44,1035.84,1366x768,,0.0,1.1,64.0,FlashStorage,0.0,,Intel,Intel
Acer,Aspire 3,Notebook,15.6,Intel Core i3 7130U ,4,Intel HD Graphics 620,Linux,2.1,1526.72,1366x768,,0.0,2.7,1000.0,HDD,0.0,,Intel,Intel
Dell,Inspiron 5770,Notebook,17.3,Intel Core i5 8250U ,8,AMD Radeon 530,Windows 10,2.8,4072.64,1920x1080,IPSPanel,0.0,1.6,128.0,SSD,1000.0,HDD,Intel,AMD
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10,1.86,2032.95,1366x768,,0.0,2.5,1000.0,HDD,0.0,,Intel,Intel
